
V2= 0 to -65 in -0.1 step
NO. V2 I2
 V A
1 0 -3.6E-13
2 -0.1 -1.23E-12
3 -0.2 -1.53E-12
4 -0.3 -1.78E-12
5 -0.4 -1.8E-12
6 -0.5 -2.01E-12
7 -0.6 -2.08E-12
8 -0.7 -2.02E-12
9 -0.8 -2.25E-12
10 -0.9 -2.28E-12
11 -1 -2.3E-12
12 -1.1 -2.45E-12
13 -1.2 -2.48E-12
14 -1.3 -2.7E-12
15 -1.4 -2.75E-12
16 -1.5 -2.74E-12
17 -1.6 -2.9E-12
18 -1.7 -2.98E-12
19 -1.8 -2.95E-12
20 -1.9 -3.15E-12
21 -2 -3.19E-12
22 -2.1 -3.22E-12
23 -2.2 -3.42E-12
24 -2.3 -3.44E-12
25 -2.4 -3.64E-12
26 -2.5 -3.7E-12
27 -2.6 -3.68E-12
28 -2.7 -3.85E-12
29 -2.8 -3.93E-12
30 -2.9 -3.95E-12
31 -3 -4.16E-12
32 -3.1 -4.18E-12
33 -3.2 -4.19E-12
34 -3.3 -4.43E-12
35 -3.4 -4.46E-12
36 -3.5 -4.65E-12
37 -3.6 -4.7E-12
38 -3.7 -4.74E-12
39 -3.8 -4.9E-12
40 -3.9 -5E-12
41 -4 -5E-12
42 -4.1 -5.19E-12
43 -4.2 -5.23E-12
44 -4.3 -5.27E-12
45 -4.4 -5.51E-12
46 -4.5 -5.55E-12
47 -4.6 -5.58E-12
48 -4.7 -5.78E-12
49 -4.8 -5.91E-12
50 -4.9 -5.86E-12
51 -5 -6.06E-12
52 -5.1 -6.1E-12
53 -5.2 -6.36E-12
54 -5.3 -6.41E-12
55 -5.4 -6.47E-12
56 -5.5 -6.68E-12
57 -5.6 -6.72E-12
58 -5.7 -6.74E-12
59 -5.8 -6.98E-12
60 -5.9 -7.04E-12
61 -6 -7.09E-12
62 -6.1 -7.31E-12
63 -6.2 -7.37E-12
64 -6.3 -7.44E-12
65 -6.4 -7.64E-12
66 -6.5 -7.73E-12
67 -6.6 -7.74E-12
68 -6.7 -8E-12
69 -6.8 -8.06E-12
70 -6.9 -8.28E-12
71 -7 -8.33E-12
72 -7.1 -8.4E-12
73 -7.2 -8.57E-12
74 -7.3 -8.7E-12
75 -7.4 -8.72E-12
76 -7.5 -8.94E-12
77 -7.6 -9.04E-12
78 -7.7 -9.1E-12
79 -7.8 -9.33E-12
80 -7.9 -9.4E-12
81 -8 -9.5E-12
82 -8.1 -9.68E-12
83 -8.2 -9.82E-12
84 -8.3 -9.88E-12
85 -8.4 -1.006E-11
86 -8.5 -1.019E-11
87 -8.6 -1.025E-11
88 -8.7 -1.046E-11
89 -8.8 -1.056E-11
90 -8.9 -1.064E-11
91 -9 -1.085E-11
92 -9.1 -1.095E-11
93 -9.2 -1.1E-11
94 -9.3 -1.126E-11
95 -9.4 -1.138E-11
96 -9.5 -1.141E-11
97 -9.6 -1.013E-11
98 -9.7 -1.046E-11
99 -9.8 -1.07E-11
100 -9.9 -1.064E-11
101 -10 -1.087E-11
102 -10.1 -1.115E-11
103 -10.2 -1.134E-11
104 -10.3 -1.126E-11
105 -10.4 -1.156E-11
106 -10.5 -1.179E-11
107 -10.6 -1.172E-11
108 -10.7 -1.194E-11
109 -10.8 -1.223E-11
110 -10.9 -1.213E-11
111 -11 -1.243E-11
112 -11.1 -1.263E-11
113 -11.2 -1.256E-11
114 -11.3 -1.283E-11
115 -11.4 -1.307E-11
116 -11.5 -1.301E-11
117 -11.6 -1.327E-11
118 -11.7 -1.351E-11
119 -11.8 -1.35E-11
120 -11.9 -1.375E-11
121 -12 -1.399E-11
122 -12.1 -1.396E-11
123 -12.2 -1.418E-11
124 -12.3 -1.441E-11
125 -12.4 -1.468E-11
126 -12.5 -1.468E-11
127 -12.6 -1.492E-11
128 -12.7 -1.515E-11
129 -12.8 -1.512E-11
130 -12.9 -1.541E-11
131 -13 -1.555E-11
132 -13.1 -1.557E-11
133 -13.2 -1.584E-11
134 -13.3 -1.612E-11
135 -13.4 -1.61E-11
136 -13.5 -1.632E-11
137 -13.6 -1.66E-11
138 -13.7 -1.688E-11
139 -13.8 -1.679E-11
140 -13.9 -1.714E-11
141 -14 -1.74E-11
142 -14.1 -1.735E-11
143 -14.2 -1.758E-11
144 -14.3 -1.792E-11
145 -14.4 -1.784E-11
146 -14.5 -1.811E-11
147 -14.6 -1.838E-11
148 -14.7 -1.87E-11
149 -14.8 -1.865E-11
150 -14.9 -1.892E-11
151 -15 -1.92E-11
152 -15.1 -1.921E-11
153 -15.2 -1.949E-11
154 -15.3 -1.973E-11
155 -15.4 -1.971E-11
156 -15.5 -2.006E-11
157 -15.6 -2.033E-11
158 -15.7 -2.035E-11
159 -15.8 -2.064E-11
160 -15.9 -2.086E-11
161 -16 -2.09E-11
162 -16.1 -2.118E-11
163 -16.2 -2.151E-11
164 -16.3 -2.151E-11
165 -16.4 -2.18E-11
166 -16.5 -2.213E-11
167 -16.6 -2.239E-11
168 -16.7 -2.241E-11
169 -16.8 -2.27E-11
170 -16.9 -2.298E-11
171 -17 -2.3E-11
172 -17.1 -2.329E-11
173 -17.2 -2.361E-11
174 -17.3 -2.361E-11
175 -17.4 -2.399E-11
176 -17.5 -2.424E-11
177 -17.6 -2.426E-11
178 -17.7 -2.458E-11
179 -17.8 -2.49E-11
180 -17.9 -2.493E-11
181 -18 -2.524E-11
182 -18.1 -2.559E-11
183 -18.2 -2.562E-11
184 -18.3 -2.591E-11
185 -18.4 -2.616E-11
186 -18.5 -2.621E-11
187 -18.6 -2.657E-11
188 -18.7 -2.688E-11
189 -18.8 -2.69E-11
190 -18.9 -2.723E-11
191 -19 -2.762E-11
192 -19.1 -2.793E-11
193 -19.2 -2.796E-11
194 -19.3 -2.83E-11
195 -19.4 -2.86E-11
196 -19.5 -2.863E-11
197 -19.6 -2.901E-11
198 -19.7 -2.938E-11
199 -19.8 -2.942E-11
200 -19.9 -2.978E-11
201 -20 -3.013E-11
202 -20.1 -3.016E-11
203 -20.2 -3.053E-11
204 -20.3 -3.082E-11
205 -20.4 -3.095E-11
206 -20.5 -3.129E-11
207 -20.6 -3.165E-11
208 -20.7 -3.164E-11
209 -20.8 -3.198E-11
210 -20.9 -3.245E-11
211 -21 -3.248E-11
212 -21.1 -3.279E-11
213 -21.2 -3.32E-11
214 -21.3 -3.327E-11
215 -21.4 -3.363E-11
216 -21.5 -3.405E-11
217 -21.6 -3.408E-11
218 -21.7 -3.446E-11
219 -21.8 -3.486E-11
220 -21.9 -3.485E-11
221 -22 -3.531E-11
222 -22.1 -3.568E-11
223 -22.2 -3.571E-11
224 -22.3 -3.611E-11
