
V2= 0 to -65 in -0.1 step
NO. V2 I2
 V A
1 0 -3E-14
2 -0.1 -2E-13
3 -0.2 -7.5E-13
4 -0.3 -1.01E-12
5 -0.4 -9.6E-13
6 -0.5 -1.27E-12
7 -0.6 -1.27E-12
8 -0.7 -1.61E-12
9 -0.8 -1.87E-12
10 -0.9 -1.85E-12
11 -1 -2.18E-12
12 -1.1 -2.18E-12
13 -1.2 -2.49E-12
14 -1.3 -2.76E-12
15 -1.4 -2.88E-12
16 -1.5 -3.11E-12
17 -1.6 -3.43E-12
18 -1.7 -3.55E-12
19 -1.8 -3.83E-12
20 -1.9 -3.87E-12
21 -2 -4.22E-12
22 -2.1 -4.56E-12
23 -2.2 -4.54E-12
24 -2.3 -4.91E-12
25 -2.4 -5E-12
26 -2.5 -5.31E-12
27 -2.6 -5.57E-12
28 -2.7 -5.66E-12
29 -2.8 -6.07E-12
30 -2.9 -6.41E-12
31 -3 -6.43E-12
32 -3.1 -6.8E-12
33 -3.2 -6.85E-12
34 -3.3 -7.24E-12
35 -3.4 -7.53E-12
36 -3.5 -7.64E-12
37 -3.6 -8.04E-12
38 -3.7 -8.13E-12
39 -3.8 -8.54E-12
40 -3.9 -8.84E-12
41 -4 -8.94E-12
42 -4.1 -9.32E-12
43 -4.2 -9.67E-12
44 -4.3 -9.73E-12
45 -4.4 -1.019E-11
46 -4.5 -1.026E-11
47 -4.6 -1.064E-11
48 -4.7 -1.097E-11
49 -4.8 -1.104E-11
50 -4.9 -1.15E-11
51 -5 -1.154E-11
52 -5.1 -1.197E-11
53 -5.2 -1.243E-11
54 -5.3 -1.248E-11
55 -5.4 -1.295E-11
56 -5.5 -1.307E-11
57 -5.6 -1.353E-11
58 -5.7 -1.389E-11
59 -5.8 -1.399E-11
60 -5.9 -1.444E-11
61 -6 -1.455E-11
62 -6.1 -1.497E-11
63 -6.2 -1.533E-11
64 -6.3 -1.549E-11
65 -6.4 -1.595E-11
66 -6.5 -1.611E-11
67 -6.6 -1.649E-11
68 -6.7 -1.695E-11
69 -6.8 -1.703E-11
70 -6.9 -1.757E-11
71 -7 -1.791E-11
72 -7.1 -1.808E-11
73 -7.2 -1.854E-11
74 -7.3 -1.866E-11
75 -7.4 -1.918E-11
76 -7.5 -1.957E-11
77 -7.6 -1.974E-11
78 -7.7 -2.02E-11
79 -7.8 -2.038E-11
80 -7.9 -2.083E-11
81 -8 -2.132E-11
82 -8.1 -2.137E-11
83 -8.2 -2.198E-11
84 -8.3 -2.209E-11
85 -8.4 -2.256E-11
86 -8.5 -2.311E-11
87 -8.6 -2.326E-11
88 -8.7 -2.376E-11
89 -8.8 -2.423E-11
90 -8.9 -2.433E-11
91 -9 -2.486E-11
92 -9.1 -2.506E-11
93 -9.2 -2.561E-11
94 -9.3 -2.602E-11
95 -9.4 -2.625E-11
96 -9.5 -2.674E-11
97 -9.6 -2.698E-11
98 -9.7 -2.746E-11
99 -9.8 -2.797E-11
100 -9.9 -2.814E-11
101 -10 -2.87E-11
102 -10.1 -2.927E-11
103 -10.2 -2.941E-11
104 -10.3 -2.996E-11
105 -10.4 -3.022E-11
106 -10.5 -3.076E-11
107 -10.6 -3.128E-11
108 -10.7 -3.136E-11
109 -10.8 -3.198E-11
110 -10.9 -3.233E-11
111 -11 -3.278E-11
112 -11.1 -3.331E-11
113 -11.2 -3.353E-11
114 -11.3 -3.418E-11
115 -11.4 -3.467E-11
116 -11.5 -3.492E-11
117 -11.6 -3.548E-11
118 -11.7 -3.572E-11
119 -11.8 -3.636E-11
120 -11.9 -3.686E-11
121 -12 -3.715E-11
122 -12.1 -3.774E-11
123 -12.2 -3.819E-11
124 -12.3 -3.846E-11
125 -12.4 -3.913E-11
126 -12.5 -3.967E-11
127 -12.6 -3.992E-11
128 -12.7 -4.048E-11
129 -12.8 -4.082E-11
130 -12.9 -4.143E-11
131 -13 -4.182E-11
132 -13.1 -4.228E-11
133 -13.2 -4.289E-11
134 -13.3 -4.352E-11
135 -13.4 -4.372E-11
136 -13.5 -4.444E-11
137 -13.6 -4.496E-11
138 -13.7 -4.533E-11
139 -13.8 -4.593E-11
140 -13.9 -4.651E-11
141 -14 -4.686E-11
142 -14.1 -4.749E-11
143 -14.2 -4.776E-11
144 -14.3 -4.848E-11
145 -14.4 -4.902E-11
146 -14.5 -4.94E-11
147 -14.6 -5.002E-11
148 -14.7 -5.068E-11
149 -14.8 -5.102E-11
150 -14.9 -5.168E-11
151 -15 -5.229E-11
152 -15.1 -5.262E-11
153 -15.2 -5.328E-11
154 -15.3 -5.397E-11
155 -15.4 -5.456E-11
156 -15.5 -5.497E-11
157 -15.6 -5.565E-11
158 -15.7 -5.619E-11
159 -15.8 -5.654E-11
160 -15.9 -5.735E-11
161 -16 -5.796E-11
162 -16.1 -5.841E-11
163 -16.2 -5.908E-11
164 -16.3 -5.961E-11
165 -16.4 -6.01E-11
166 -16.5 -6.093E-11
167 -16.6 -6.144E-11
168 -16.7 -6.181E-11
169 -16.8 -6.255E-11
170 -16.9 -6.329E-11
171 -17 -6.371E-11
172 -17.1 -6.438E-11
173 -17.2 -6.508E-11
174 -17.3 -6.576E-11
175 -17.4 -6.621E-11
176 -17.5 -6.685E-11
177 -17.6 -6.77E-11
178 -17.7 -6.817E-11
179 -17.8 -6.882E-11
180 -17.9 -6.955E-11
181 -18 -6.995E-11
182 -18.1 -7.08E-11
183 -18.2 -7.136E-11
184 -18.3 -7.188E-11
185 -18.4 -7.275E-11
186 -18.5 -7.351E-11
187 -18.6 -7.401E-11
188 -18.7 -7.464E-11
189 -18.8 -7.531E-11
190 -18.9 -7.61E-11
191 -19 -7.657E-11
192 -19.1 -7.729E-11
193 -19.2 -7.803E-11
194 -19.3 -7.88E-11
195 -19.4 -7.929E-11
196 -19.5 -8.02E-11
197 -19.6 -8.072E-11
198 -19.7 -8.135E-11
199 -19.8 -8.21E-11
200 -19.9 -8.285E-11
201 -20 -8.352E-11
202 -20.1 -8.427E-11
203 -20.2 -8.506E-11
204 -20.3 -8.586E-11
205 -20.4 -8.633E-11
206 -20.5 -8.736E-11
207 -20.6 -8.808E-11
208 -20.7 -8.876E-11
209 -20.8 -8.933E-11
210 -20.9 -9.014E-11
211 -21 -9.081E-11
212 -21.1 -9.173E-11
213 -21.2 -9.243E-11
214 -21.3 -9.303E-11
215 -21.4 -9.406E-11
216 -21.5 -9.49E-11
217 -21.6 -9.543E-11
218 -21.7 -9.632E-11
219 -21.8 -9.711E-11
220 -21.9 -9.8E-11
221 -22 -9.849E-11
222 -22.1 -9.931E-11
223 -22.2 -1.0016E-10
224 -22.3 -1.011E-10
225 -22.4 -1.018E-10
226 -22.5 -1.0278E-10
227 -22.6 -1.0322E-10
228 -22.7 -1.0423E-10
229 -22.8 -1.0493E-10
230 -22.9 -1.0589E-10
231 -23 -1.0671E-10
232 -23.1 -1.0769E-10
233 -23.2 -1.0844E-10
234 -23.3 -1.0918E-10
235 -23.4 -1.0993E-10
236 -23.5 -1.1086E-10
237 -23.6 -1.1202E-10
238 -23.7 -1.1267E-10
239 -23.8 -1.1352E-10
240 -23.9 -1.1437E-10
241 -24 -1.1528E-10
242 -24.1 -1.163E-10
243 -24.2 -1.1673E-10
244 -24.3 -1.1783E-10
245 -24.4 -1.1874E-10
246 -24.5 -1.1983E-10
247 -24.6 -1.2092E-10
248 -24.7 -1.2139E-10
249 -24.8 -1.2225E-10
250 -24.9 -1.2338E-10
251 -25 -1.243E-10
252 -25.1 -1.2543E-10
253 -25.2 -1.2615E-10
